sepal_length,sepal_width,petal_length,petal_width,species,sepal_area,petal_area
-0.897674,1.028611,-1.336794,-1.308593,Iris-setosa,0.923357,1.749319
-1.139200,-0.124540,-1.336794,-1.308593,Iris-setosa,0.141876,1.749319
-1.380727,0.336720,-1.393470,-1.308593,Iris-setosa,0.464919,1.823485
-1.501490,0.106090,-1.280118,-1.308593,Iris-setosa,0.159293,1.675153
-1.018437,1.259242,-1.336794,-1.308593,Iris-setosa,1.282458,1.749319
-0.535384,1.951133,-1.166767,-1.046525,Iris-setosa,1.044605,1.221050
-1.501490,0.797981,-1.336794,-1.177559,Iris-setosa,1.198161,1.574154
-1.018437,0.797981,-1.280118,-1.308593,Iris-setosa,0.812693,1.675153
-1.743017,-0.355171,-1.336794,-1.308593,Iris-setosa,0.619069,1.749319
-1.139200,0.106090,-1.280118,-1.439627,Iris-setosa,0.120858,1.842892
-0.535384,1.489872,-1.280118,-1.308593,Iris-setosa,0.797654,1.675153
-1.259964,0.797981,-1.223442,-1.308593,Iris-setosa,1.005427,1.600988
-1.259964,-0.124540,-1.336794,-1.439627,Iris-setosa,0.156916,1.924485
-1.863780,-0.124540,-1.506822,-1.439627,Iris-setosa,0.232116,2.169261
-0.052331,2.181763,-1.450146,-1.308593,Iris-setosa,0.114173,1.897650
-0.173094,3.104284,-1.280118,-1.046525,Iris-setosa,0.537333,1.339675
-0.535384,1.951133,-1.393470,-1.046525,Iris-setosa,1.044605,1.458301
-0.897674,1.028611,-1.336794,-1.177559,Iris-setosa,0.923357,1.574154
-0.173094,1.720502,-1.166767,-1.177559,Iris-setosa,0.297809,1.373936
-0.897674,1.720502,-1.280118,-1.177559,Iris-setosa,1.544450,1.507414
-0.535384,0.797981,-1.166767,-1.308593,Iris-setosa,0.427226,1.526822
-0.897674,1.489872,-1.280118,-1.046525,Iris-setosa,1.337419,1.339675
-1.501490,1.259242,-1.563497,-1.308593,Iris-setosa,1.890739,2.045981
-0.897674,0.567351,-1.166767,-0.915491,Iris-setosa,0.509296,1.068164
-1.259964,0.797981,-1.053415,-1.308593,Iris-setosa,1.005427,1.378491
-1.018437,-0.124540,-1.223442,-1.308593,Iris-setosa,0.126837,1.600988
-1.018437,0.797981,-1.223442,-1.046525,Iris-setosa,0.812693,1.280363
-0.776911,1.028611,-1.280118,-1.308593,Iris-setosa,0.799139,1.675153
-0.776911,0.797981,-1.336794,-1.308593,Iris-setosa,0.619960,1.749319
-1.380727,0.336720,-1.223442,-1.308593,Iris-setosa,0.464919,1.600988
-1.259964,0.106090,-1.223442,-1.308593,Iris-setosa,0.133669,1.600988
-0.535384,0.797981,-1.280118,-1.046525,Iris-setosa,0.427226,1.339675
-0.776911,2.412393,-1.280118,-1.439627,Iris-setosa,1.874214,1.842892
-0.414621,2.643024,-1.336794,-1.308593,Iris-setosa,1.095852,1.749319
-1.139200,0.106090,-1.280118,-1.439627,Iris-setosa,0.120858,1.842892
-1.018437,0.336720,-1.450146,-1.308593,Iris-setosa,0.342928,1.897650
-0.414621,1.028611,-1.393470,-1.308593,Iris-setosa,0.426483,1.823485
-1.139200,0.106090,-1.280118,-1.439627,Iris-setosa,0.120858,1.842892
-1.743017,-0.124540,-1.393470,-1.308593,Iris-setosa,0.217076,1.823485
-0.897674,0.797981,-1.280118,-1.308593,Iris-setosa,0.716327,1.675153
-1.018437,1.028611,-1.393470,-1.177559,Iris-setosa,1.047576,1.640893
-1.622254,-1.738953,-1.393470,-1.177559,Iris-setosa,2.821022,1.640893
-1.743017,0.336720,-1.393470,-1.308593,Iris-setosa,0.586909,1.823485
-1.018437,1.028611,-1.223442,-0.784457,Iris-setosa,1.047576,0.959738
-0.897674,1.720502,-1.053415,-1.046525,Iris-setosa,1.544450,1.102425
-1.259964,-0.124540,-1.336794,-1.177559,Iris-setosa,0.156916,1.574154
-0.897674,1.720502,-1.223442,-1.308593,Iris-setosa,1.544450,1.600988
-1.501490,0.336720,-1.336794,-1.308593,Iris-setosa,0.505582,1.749319
-0.656147,1.489872,-1.280118,-1.308593,Iris-setosa,0.977575,1.675153
-1.018437,0.567351,-1.336794,-1.308593,Iris-setosa,0.577811,1.749319
1.396829,0.336720,0.533509,0.263815,Iris-versicolor,0.470341,0.140748
0.672249,0.336720,0.420157,0.394849,Iris-versicolor,0.226360,0.165899
1.276066,0.106090,0.646860,0.394849,Iris-versicolor,0.135378,0.255412
-0.414621,-1.738953,0.136778,0.132781,Iris-versicolor,0.721006,0.018161
0.793012,-0.585801,0.476833,0.394849,Iris-versicolor,0.464547,0.188277
-0.173094,-0.585801,0.420157,0.132781,Iris-versicolor,0.101399,0.055789
0.551486,0.567351,0.533509,0.525883,Iris-versicolor,0.312886,0.280563
-1.139200,-1.508322,-0.259953,-0.260321,Iris-versicolor,1.718282,0.067671
0.913776,-0.355171,0.476833,0.132781,Iris-versicolor,0.324546,0.063314
-0.776911,-0.816431,0.080102,0.263815,Iris-versicolor,0.634294,0.021132
-1.018437,-2.430844,-0.146601,-0.260321,Iris-versicolor,2.475662,0.038163
0.068433,-0.124540,0.250129,0.394849,Iris-versicolor,0.008523,0.098763
0.189196,-1.969583,0.136778,-0.260321,Iris-versicolor,0.372637,0.035606
0.309959,-0.355171,0.533509,0.263815,Iris-versicolor,0.110088,0.140748
-0.293857,-0.355171,-0.089926,0.132781,Iris-versicolor,0.104370,0.011940
1.034539,0.106090,0.363481,0.263815,Iris-versicolor,0.109754,0.095892
-0.293857,-0.124540,0.420157,0.394849,Iris-versicolor,0.036597,0.165899
-0.052331,-0.816431,0.193454,-0.260321,Iris-versicolor,0.042724,0.050360
0.430722,-1.969583,0.420157,0.394849,Iris-versicolor,0.848344,0.165899
-0.293857,-1.277692,0.080102,-0.129287,Iris-versicolor,0.375459,0.010356
0.068433,0.336720,0.590184,0.787951,Iris-versicolor,0.023043,0.465036
0.309959,-0.585801,0.136778,0.132781,Iris-versicolor,0.181574,0.018161
0.551486,-1.277692,0.646860,0.394849,Iris-versicolor,0.704629,0.255412
0.309959,-0.585801,0.533509,0.001747,Iris-versicolor,0.181574,0.000932
0.672249,-0.355171,0.306805,0.132781,Iris-versicolor,0.238763,0.040738
0.913776,-0.124540,0.363481,0.263815,Iris-versicolor,0.113802,0.095892
1.155302,-0.585801,0.590184,0.263815,Iris-versicolor,0.676777,0.155700
1.034539,-0.124540,0.703536,0.656917,Iris-versicolor,0.128842,0.462165
0.189196,-0.355171,0.420157,0.394849,Iris-versicolor,0.067197,0.165899
-0.173094,-1.047062,-0.146601,-0.260321,Iris-versicolor,0.181240,0.038163
-0.414621,-1.508322,0.023426,-0.129287,Iris-versicolor,0.625382,0.003029
-0.414621,-1.508322,-0.033250,-0.260321,Iris-versicolor,0.625382,0.008656
-0.052331,-0.816431,0.080102,0.001747,Iris-versicolor,0.042724,0.000140
0.189196,-0.816431,0.760212,0.525883,Iris-versicolor,0.154465,0.399783
-0.535384,-0.124540,0.420157,0.394849,Iris-versicolor,0.066677,0.165899
0.189196,0.797981,0.420157,0.525883,Iris-versicolor,0.150975,0.220953
1.034539,0.106090,0.533509,0.394849,Iris-versicolor,0.109754,0.210655
0.551486,-1.738953,0.363481,0.132781,Iris-versicolor,0.959008,0.048263
-0.293857,-0.124540,0.193454,0.132781,Iris-versicolor,0.036597,0.025687
-0.414621,-1.277692,0.136778,0.132781,Iris-versicolor,0.529758,0.018161
-0.414621,-1.047062,0.363481,0.001747,Iris-versicolor,0.434133,0.000635
0.309959,-0.124540,0.476833,0.263815,Iris-versicolor,0.038602,0.125796
-0.052331,-1.047062,0.136778,0.001747,Iris-versicolor,0.054794,0.000239
-1.018437,-1.738953,-0.259953,-0.260321,Iris-versicolor,1.771014,0.067671
-0.293857,-0.816431,0.250129,0.132781,Iris-versicolor,0.239914,0.033212
-0.173094,-0.124540,0.250129,0.001747,Iris-versicolor,0.021557,0.000437
-0.173094,-0.355171,0.250129,0.132781,Iris-versicolor,0.061478,0.033212
0.430722,-0.355171,0.306805,0.132781,Iris-versicolor,0.152980,0.040738
-0.897674,-1.277692,-0.429981,-0.129287,Iris-versicolor,1.146951,0.055591
-0.173094,-0.585801,0.193454,0.132781,Iris-versicolor,0.101399,0.025687
0.551486,0.567351,1.270294,1.705189,Iris-virginica,0.312886,2.166092
-0.052331,-0.816431,0.760212,0.918985,Iris-virginica,0.042724,0.698623
1.517592,-0.124540,1.213619,1.181053,Iris-virginica,0.189002,1.433348
0.551486,-0.355171,1.043591,0.787951,Iris-virginica,0.195872,0.822299
0.793012,-0.124540,1.156943,1.312087,Iris-virginica,0.098762,1.518010
2.121409,-0.124540,1.610349,1.181053,Iris-virginica,0.264201,1.901908
-1.139200,-1.277692,0.420157,0.656917,Iris-virginica,1.455547,0.276008
1.759119,-0.355171,1.440322,0.787951,Iris-virginica,0.624787,1.134903
1.034539,-1.277692,1.156943,0.787951,Iris-virginica,1.321822,0.911614
1.638355,1.259242,1.326970,1.705189,Iris-virginica,2.063085,2.262735
0.793012,0.336720,0.760212,1.050019,Iris-virginica,0.267023,0.798237
0.672249,-0.816431,0.873564,0.918985,Iris-virginica,0.548845,0.802792
1.155302,-0.124540,0.986915,1.181053,Iris-virginica,0.143882,1.165599
-0.173094,-1.277692,0.703536,1.050019,Iris-virginica,0.221161,0.738726
-0.052331,-0.585801,0.760212,1.574155,Iris-virginica,0.030655,1.196691
0.672249,0.336720,0.873564,1.443121,Iris-virginica,0.226360,1.260658
0.793012,-0.124540,0.986915,0.787951,Iris-virginica,0.098762,0.777641
2.242172,1.720502,1.667025,1.312087,Iris-virginica,3.857662,2.187282
2.242172,-1.047062,1.780377,1.443121,Iris-virginica,2.347692,2.569299
0.189196,-1.969583,0.703536,0.394849,Iris-virginica,0.372637,0.277791
1.276066,0.336720,1.100267,1.443121,Iris-virginica,0.429677,1.587818
-0.293857,-0.585801,0.646860,1.050019,Iris-virginica,0.172142,0.679216
2.242172,-0.585801,1.667025,1.050019,Iris-virginica,1.313467,1.750408
0.551486,-0.816431,0.646860,0.787951,Iris-virginica,0.450250,0.509694
1.034539,0.567351,1.100267,1.181053,Iris-virginica,0.586946,1.299474
1.638355,0.336720,1.270294,0.787951,Iris-virginica,0.551668,1.000930
0.430722,-0.585801,0.590184,0.787951,Iris-virginica,0.252318,0.465036
0.309959,-0.124540,0.646860,0.787951,Iris-virginica,0.038602,0.509694
0.672249,-0.585801,1.043591,1.181053,Iris-virginica,0.393804,1.232536
1.638355,-0.124540,1.156943,0.525883,Iris-virginica,0.204041,0.608417
1.879882,-0.585801,1.326970,0.918985,Iris-virginica,1.101237,1.219466
2.483699,1.720502,1.496998,1.050019,Iris-virginica,4.273209,1.571876
0.672249,-0.585801,1.043591,1.312087,Iris-virginica,0.393804,1.369282
0.551486,-0.585801,0.760212,0.394849,Iris-virginica,0.323061,0.300169
0.309959,-1.047062,1.043591,0.263815,Iris-virginica,0.324546,0.275315
2.242172,-0.124540,1.326970,1.443121,Iris-virginica,0.279241,1.914979
0.551486,0.797981,1.043591,1.574155,Iris-virginica,0.440075,1.642774
0.672249,0.106090,0.986915,0.787951,Iris-virginica,0.071319,0.777641
0.189196,-0.124540,0.590184,0.787951,Iris-virginica,0.023563,0.465036
1.276066,0.106090,0.930239,1.181053,Iris-virginica,0.135378,1.098662
1.034539,0.106090,1.043591,1.574155,Iris-virginica,0.109754,1.642774
1.276066,0.106090,0.760212,1.443121,Iris-virginica,0.135378,1.097078
-0.052331,-0.816431,0.760212,0.918985,Iris-virginica,0.042724,0.698623
1.155302,0.336720,1.213619,1.443121,Iris-virginica,0.389014,1.751398
1.034539,0.567351,1.100267,1.705189,Iris-virginica,0.586946,1.876163
1.034539,-0.124540,0.816888,1.443121,Iris-virginica,0.128842,1.178868
0.551486,-1.277692,0.703536,0.918985,Iris-virginica,0.704629,0.646539
0.793012,-0.124540,0.816888,1.050019,Iris-virginica,0.098762,0.857748
0.430722,0.797981,0.930239,1.443121,Iris-virginica,0.343708,1.342448
0.068433,-0.124540,0.760212,0.787951,Iris-virginica,0.008523,0.599010
